idMarca,version,marca
1961,"VW SEDAN","CLASICO ANTIGUO AUTO"
1962,"FALCON SEDAN 6CIL 2 Y 4PTAS","CLASICO ANTIGUO AUTO"
1962,"JEEP L6","CLASICO ANTIGUO AUTO"
1963,"CHEVROLET SEDAN 4PTAS","CLASICO ANTIGUO AUTO"
1963,"MERCEDES BENZ","CLASICO ANTIGUO AUTO"
1963,"OPEL 4CIL","CLASICO ANTIGUO AUTO"
1964,"DATSUN","CLASICO ANTIGUO AUTO"
1964,"FALCON SEDAN 2 Y 4PTAS 6CIL","CLASICO ANTIGUO AUTO"
1964,"MERCEDEZ BENZ 4 PTS","CLASICO ANTIGUO AUTO"
1964,"PLYMOUTH","CLASICO ANTIGUO AUTO"
1964,"VW SEDAN 2 PTAS. 4 CIL.","CLASICO ANTIGUO AUTO"
1965,"FORD-GALAXIE 2 PUERTAS","CLASICO ANTIGUO AUTO"
1965,"MUSTANG HARD TOP V8","CLASICO ANTIGUO AUTO"
1965,"RAMBLER","CLASICO ANTIGUO AUTO"
1965,"VALIANT STATION WAGON","CLASICO ANTIGUO AUTO"
1965,"VW SEDAN STD 4CIL 2PTAS","CLASICO ANTIGUO AUTO"
1966,"DART STD 6CIL 2 Y 4 PTAS","CLASICO ANTIGUO AUTO"
1966,"MUSTANG HARDTOP V8 2PTAS","CLASICO ANTIGUO AUTO"
1966,"VW SEDAN","CLASICO ANTIGUO AUTO"
1967,"DATSUN SEDAN","CLASICO ANTIGUO AUTO"
1967,"FALCON V8","CLASICO ANTIGUO AUTO"
1967,"JEEP","CLASICO ANTIGUO AUTO"
1967,"RENAULT 4CIL","CLASICO ANTIGUO AUTO"
1967,"VW SEDAN","CLASICO ANTIGUO AUTO"
1968,"BARRACUDA V8","CLASICO ANTIGUO AUTO"
1968,"DATSUN","CLASICO ANTIGUO AUTO"
1968,"FALCON","CLASICO ANTIGUO AUTO"
1968,"MUSTANG HARDTOP","CLASICO ANTIGUO AUTO"
1968,"VW SEDAN","CLASICO ANTIGUO AUTO"
1969,"AMERICAN RAMBLER L6 2 Y 4 PTAS","CLASICO ANTIGUO AUTO"
1969,"CHEVELLE Y MALIBU 6CIL","CLASICO ANTIGUO AUTO"
1969,"DATSUN 4CIL","CLASICO ANTIGUO AUTO"
1969,"MUSTANG HARD TOP","CLASICO ANTIGUO AUTO"
1969,"R10 SEDAN 4PTAS","CLASICO ANTIGUO AUTO"
1969,"SEDAN STD 4CIL","CLASICO ANTIGUO AUTO"
1970,"DART STD 6CIL 2 Y 4 PTAS","CLASICO ANTIGUO AUTO"
1970,"DATSUN SEDAN 1.5L","CLASICO ANTIGUO AUTO"
1970,"FALCON V8","CLASICO ANTIGUO AUTO"
1970,"FORD MUSTANG H T DH","CLASICO ANTIGUO AUTO"
1970,"GALAXIE 500 V8","CLASICO ANTIGUO AUTO"
1970,"MALIBU","CLASICO ANTIGUO AUTO"
1970,"VW SEDAN","CLASICO ANTIGUO AUTO"
1971,"DATSUN","CLASICO ANTIGUO AUTO"
1971,"GALAXIE 500 V8","CLASICO ANTIGUO AUTO"
1971,"MAVERICK SD 4 PTAS. 8 CIL.","CLASICO ANTIGUO AUTO"
1971,"MUSTANG V8","CLASICO ANTIGUO AUTO"
1971,"VW SEDAN","CLASICO ANTIGUO AUTO"
1972,"CHARGER SE HARD TOP V8","CLASICO ANTIGUO AUTO"
1972,"CHEVELLE Y MALIBU 2PTAS","CLASICO ANTIGUO AUTO"
1972,"COMBI VAGONETA 4CIL","CLASICO ANTIGUO AUTO"
1972,"GALAXIE 500 V8","CLASICO ANTIGUO AUTO"
1972,"IMPALA","CLASICO ANTIGUO AUTO"
1972,"MAVERICK V8 SD 4 VEL","CLASICO ANTIGUO AUTO"
1972,"MONACO V8","CLASICO ANTIGUO AUTO"
1972,"MUSTANG V8","CLASICO ANTIGUO AUTO"
1972,"NISSAN DATSUN SEDAN","CLASICO ANTIGUO AUTO"
1972,"OPEL 4CIL 4PTAS","CLASICO ANTIGUO AUTO"
1972,"VALIANT","CLASICO ANTIGUO AUTO"
1972,"VW SAFARI","CLASICO ANTIGUO AUTO"
1972,"VW SEDAN 2 PTAS.","CLASICO ANTIGUO AUTO"
1973,"AMERICAN RAMBLER","CLASICO ANTIGUO AUTO"
1973,"COMBI VAGONETA STD","CLASICO ANTIGUO AUTO"
1973,"DART SEDAN 6CIL 4PTAS","CLASICO ANTIGUO AUTO"
1973,"DART SEDAN 8CIL 4PTAS","CLASICO ANTIGUO AUTO"
1973,"DATSUN","CLASICO ANTIGUO AUTO"
1973,"MUSTANG V8","CLASICO ANTIGUO AUTO"
1973,"SEDAN","CLASICO ANTIGUO AUTO"
1974,"AMERICAN RALLY","CLASICO ANTIGUO AUTO"
1974,"BRASILIA 1.6L 4CIL 2PTAS","CLASICO ANTIGUO AUTO"
1974,"CHEVY NOVA","CLASICO ANTIGUO AUTO"
1974,"CLUB WAGON 8 PASJ. AUT. AA","CLASICO ANTIGUO AUTO"
1974,"COMBI VAGONETA 4 CIL","CLASICO ANTIGUO AUTO"
1974,"DART","CLASICO ANTIGUO AUTO"
1974,"DODGE MONACO VAGONETA","CLASICO ANTIGUO AUTO"
1974,"GALAXIE","CLASICO ANTIGUO AUTO"
1974,"MAVERICK SEDAN","CLASICO ANTIGUO AUTO"
1974,"MUSTANG II HARDTOP 5.0L V8 2PTAS","CLASICO ANTIGUO AUTO"
1974,"SD 1600 STD 4 CIL","CLASICO ANTIGUO AUTO"
1974,"VALIANT","CLASICO ANTIGUO AUTO"
1974,"VW SAFARI","CLASICO ANTIGUO AUTO"
1974,"VW SEDAN","CLASICO ANTIGUO AUTO"
1975,"BRASILIA 4CIL","CLASICO ANTIGUO AUTO"
1975,"CHEVY NOVA SEDAN","CLASICO ANTIGUO AUTO"
1975,"COMBI 4 CIL","CLASICO ANTIGUO AUTO"
1975,"DART","CLASICO ANTIGUO AUTO"
1975,"DATSUN","CLASICO ANTIGUO AUTO"
1975,"JEEP CJ - 5D CAPOTA LONA","CLASICO ANTIGUO AUTO"
1975,"MAVERICK V8 SD 4 VEL","CLASICO ANTIGUO AUTO"
1975,"MUSTANG HARD TOP","CLASICO ANTIGUO AUTO"
1975,"SAFARI 181 4 PTAS.","CLASICO ANTIGUO AUTO"
1975,"SEDAN  1975","CLASICO ANTIGUO AUTO"
1975,"VALIANT DUSTER 6CIL","CLASICO ANTIGUO AUTO"
1976,"AMERICAN VAG AUT 4PTAS","CLASICO ANTIGUO AUTO"
1976,"BRASILIA 2 PTAS","CLASICO ANTIGUO AUTO"
1976,"CHEVY NOVA","CLASICO ANTIGUO AUTO"
1976,"COMBI VAGONETA 4CIL","CLASICO ANTIGUO AUTO"
1976,"DART","CLASICO ANTIGUO AUTO"
