producto,socio,descripcion,monto_recibo,cobertura,deducible,suma,prima
RESIDENTES AIG AUTO II,AIG,PAGO POR PÉRDIDA TOTAL EN 72 HRS HÁBILES.|REPOSICIÓN INMEDIATA DE CRISTALES.|SERVICIO DE GRÚA SIN LÍMITE DE EVENTOS.|SEGUIMIENTO DE REPARACIÓN EN LÍNEA (KPG).,15573.731,DAÑOS MATERIALES,5,VALOR COMERCIAL,6850.6013
RESIDENTES AIG AUTO II,AIG,PAGO POR PÉRDIDA TOTAL EN 72 HRS HÁBILES.|REPOSICIÓN INMEDIATA DE CRISTALES.|SERVICIO DE GRÚA SIN LÍMITE DE EVENTOS.|SEGUIMIENTO DE REPARACIÓN EN LÍNEA (KPG).,15573.731,ROBO TOTAL,10,VALOR COMERCIAL,869.8825
RESIDENTES AIG AUTO II,AIG,PAGO POR PÉRDIDA TOTAL EN 72 HRS HÁBILES.|REPOSICIÓN INMEDIATA DE CRISTALES.|SERVICIO DE GRÚA SIN LÍMITE DE EVENTOS.|SEGUIMIENTO DE REPARACIÓN EN LÍNEA (KPG).,15573.731,RESPONSABILIDAD CIVIL LUC,0,3000000.0,3464.5198
RESIDENTES AIG AUTO II,AIG,PAGO POR PÉRDIDA TOTAL EN 72 HRS HÁBILES.|REPOSICIÓN INMEDIATA DE CRISTALES.|SERVICIO DE GRÚA SIN LÍMITE DE EVENTOS.|SEGUIMIENTO DE REPARACIÓN EN LÍNEA (KPG).,15573.731,GASTOS MÉDICOS OCUPANTES,0,300000.0,140.6266
RESIDENTES AIG AUTO II,AIG,PAGO POR PÉRDIDA TOTAL EN 72 HRS HÁBILES.|REPOSICIÓN INMEDIATA DE CRISTALES.|SERVICIO DE GRÚA SIN LÍMITE DE EVENTOS.|SEGUIMIENTO DE REPARACIÓN EN LÍNEA (KPG).,15573.731,RESPONSABILIDAD CIVIL OBLIGATORIA,0,150000.0,300.0
RESIDENTES AIG AUTO II,AIG,PAGO POR PÉRDIDA TOTAL EN 72 HRS HÁBILES.|REPOSICIÓN INMEDIATA DE CRISTALES.|SERVICIO DE GRÚA SIN LÍMITE DE EVENTOS.|SEGUIMIENTO DE REPARACIÓN EN LÍNEA (KPG).,15573.731,ASISTENCIA VIAL,0,AMPARADA,315.0
RESIDENTES AIG AUTO II,AIG,PAGO POR PÉRDIDA TOTAL EN 72 HRS HÁBILES.|REPOSICIÓN INMEDIATA DE CRISTALES.|SERVICIO DE GRÚA SIN LÍMITE DE EVENTOS.|SEGUIMIENTO DE REPARACIÓN EN LÍNEA (KPG).,15573.731,S.O.S. DEFENSA LEGAL Y FIANZA,0,AMPARADA,250.0
RESIDENTES AIG AUTO II,AIG,PAGO POR PÉRDIDA TOTAL EN 72 HRS HÁBILES.|REPOSICIÓN INMEDIATA DE CRISTALES.|SERVICIO DE GRÚA SIN LÍMITE DE EVENTOS.|SEGUIMIENTO DE REPARACIÓN EN LÍNEA (KPG).,15573.731,EXTENSIÓN DE COBERTURA,0,AMPARADA,150.0
RESIDENTES ATLAS AUTO,ATLAS,REPARACIÓN AGENCIA HASTA 3 AÑOS.|#1 EN CENTRO DE REPARACIÓN 2016.|#1 EN SERVICIO DE GRÚAS 2016.|35 BENEFICIOS EN ASISTENCIA-VIAJES.,13621.88,DAÑOS MATERIALES,5,VALOR COMERCIAL,2102.7358
RESIDENTES ATLAS AUTO,ATLAS,REPARACIÓN AGENCIA HASTA 3 AÑOS.|#1 EN CENTRO DE REPARACIÓN 2016.|#1 EN SERVICIO DE GRÚAS 2016.|35 BENEFICIOS EN ASISTENCIA-VIAJES.,13621.88,ROBO TOTAL,10,VALOR COMERCIAL,1978.9798
